,prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating,ages,piece_count,set_name,country,list_price
9353,75526,blah,blahblah,Star Wars™,1.0,4.0,Easy,4.0,4.0,8-14,94,Elite TIE Fighter Pilot™,NL,24.3878
9354,75197,blah,blahblah,Star Wars™,15.0,3.8,Very Easy,4.1,3.9,6-12,108,First Order Specialists Battle Pack,NL,21.9478
9355,75167,blah,blahblah,Star Wars™,40.0,4.5,Very Easy,4.7,4.8,6-12,125,Bounty Hunter Speeder Bike™ Battle Pack,NL,21.9478
9356,75194,blah,blahblah,Star Wars™,3.0,4.7,Easy,4.3,4.0,6-12,91,First Order TIE Fighter™ Microfighter,NL,12.1878
9357,75160,blah,blahblah,Star Wars™,6.0,4.8,Easy,4.8,4.8,6-12,109,U-Wing™ Microfighter,NL,12.1878
9358,75211,blah,blahblah,Star Wars™,7.0,5.0,Average,4.7,3.7,9-14,519,Imperial TIE Fighter™,NL,97.5878
9359,75208,blah,blahblah,Star Wars™,5.0,4.4,Easy,4.4,4.2,7-12,229,Yoda's Hut,NL,42.6878
9360,75206,blah,blahblah,Star Wars™,3.0,4.0,Very Easy,4.0,4.3,6-12,102,Jedi™ and Clone Troopers™ Battle Pack,NL,21.9478
9361,75205,blah,blahblah,Star Wars™,14.0,4.0,Easy,3.5,3.3,8-14,376,Mos Eisley Cantina™,NL,73.1878
9362,75204,blah,blahblah,Star Wars™,13.0,4.9,Easy,4.5,4.2,7-12,278,Sandspeeder™,NL,60.9878
9363,75183,blah,blahblah,Star Wars™,38.0,4.5,Easy,4.7,4.7,7-12,282,Darth Vader™ Transformation,NL,42.6878
9364,75533,blah,blahblah,Star Wars™,4.0,4.8,Average,4.8,4.0,8-14,144,Boba Fett™,NL,42.6878
9365,75169,blah,blahblah,Star Wars™,32.0,4.4,Easy,4.4,4.4,7-12,208,Duel on Naboo™,NL,42.6878
9366,75173,blah,blahblah,Star Wars™,27.0,4.3,Easy,4.5,4.3,7-12,149,Luke's Landspeeder™,NL,36.5878
9367,75196,blah,blahblah,Star Wars™,3.0,4.0,Easy,4.3,4.0,6-12,188,A-Wing™ vs. TIE Silencer™ Microfighters,NL,24.3878
9368,75198,blah,blahblah,Star Wars™,14.0,4.2,Easy,4.1,4.1,6-12,97,Tatooine™ Battle Pack,NL,21.9478
9369,75193,blah,blahblah,Star Wars™,9.0,4.7,Easy,4.7,4.7,6-12,92,Millennium Falcon™ Microfighter,NL,12.1878
